date,hs_code,product_name,us_import_china,us_import_india,us_import_world,china_export_world,india_export_world
2020-Q3,0306,"Crustaceans, whether in shell or not, live, fresh, chilled, frozen, dried, salted or in brine, ...",1662,595252,2324206,249880,1101496
2020-Q4,0306,"Crustaceans, whether in shell or not, live, fresh, chilled, frozen, dried, salted or in brine, ...",2422,587018,2010185,356844,1091685
2021-Q1,0306,"Crustaceans, whether in shell or not, live, fresh, chilled, frozen, dried, salted or in brine, ...",2286,484264,1743985,194255,882625
2021-Q2,0306,"Crustaceans, whether in shell or not, live, fresh, chilled, frozen, dried, salted or in brine, ...",4021,558525,3195294,209719,1345992
2021-Q3,0306,"Crustaceans, whether in shell or not, live, fresh, chilled, frozen, dried, salted or in brine, ...",5938,821886,3051090,242154,1605571
2021-Q4,0306,"Crustaceans, whether in shell or not, live, fresh, chilled, frozen, dried, salted or in brine, ...",8429,830418,2950387,353575,1412217
2022-Q1,0306,"Crustaceans, whether in shell or not, live, fresh, chilled, frozen, dried, salted or in brine, ...",6767,625542,2416510,163924,953516
2022-Q2,0306,"Crustaceans, whether in shell or not, live, fresh, chilled, frozen, dried, salted or in brine, ...",5209,588362,3315105,172380,1405596
2022-Q3,0306,"Crustaceans, whether in shell or not, live, fresh, chilled, frozen, dried, salted or in brine, ...",2956,603461,2080616,188321,1406844
2022-Q4,0306,"Crustaceans, whether in shell or not, live, fresh, chilled, frozen, dried, salted or in brine, ...",5375,524450,1729272,302383,1132148
2023-Q1,0306,"Crustaceans, whether in shell or not, live, fresh, chilled, frozen, dried, salted or in brine, ...",4615,426175,1522177,190151,966564
2023-Q2,0306,"Crustaceans, whether in shell or not, live, fresh, chilled, frozen, dried, salted or in brine, ...",4353,446850,1981330,174793,1110123
2023-Q3,0306,"Crustaceans, whether in shell or not, live, fresh, chilled, frozen, dried, salted or in brine, ...",2951,555809,2006419,180048,1274687
2023-Q4,0306,"Crustaceans, whether in shell or not, live, fresh, chilled, frozen, dried, salted or in brine, ...",4713,499573,1641212,269370,1092092
2024-Q1,0306,"Crustaceans, whether in shell or not, live, fresh, chilled, frozen, dried, salted or in brine, ...",3156,417902,1402574,155863,912071
2024-Q2,0306,"Crustaceans, whether in shell or not, live, fresh, chilled, frozen, dried, salted or in brine, ...",3101,399040,2145058,178059,1080044
2024-Q3,0306,"Crustaceans, whether in shell or not, live, fresh, chilled, frozen, dried, salted or in brine, ...",3286,545967,1842703,188106,1181162
2024-Q4,0306,"Crustaceans, whether in shell or not, live, fresh, chilled, frozen, dried, salted or in brine, ...",4555,536123,1772553,287319,1335012
2025-Q1,0306,"Crustaceans, whether in shell or not, live, fresh, chilled, frozen, dried, salted or in brine, ...",4101,525671,1690046,169887,1043887
2025-Q2,0306,"Crustaceans, whether in shell or not, live, fresh, chilled, frozen, dried, salted or in brine, ...",1213,546771,2803732,193895,1320835
2020-Q3,1006,Rice,7555,100196,335464,209342,2166760
2020-Q4,1006,Rice,7295,73803,278252,180207,1934335
2021-Q1,1006,Rice,7521,45526,255954,281942,2804228
2021-Q2,1006,Rice,804,58657,256792,274224,2410620
2021-Q3,1006,Rice,15300,59881,242538,203384,2216306
2021-Q4,1006,Rice,901,62000,262466,276108,2262638
2022-Q1,1006,Rice,15679,70603,359620,210525,2772168
2022-Q2,1006,Rice,1312,90447,389918,244709,2722577
2022-Q3,1006,Rice,15873,113616,381527,292248,2754089
2022-Q4,1006,Rice,761,83266,274676,286222,2521800
2023-Q1,1006,Rice,15718,84288,326551,169080,3145316
2023-Q2,1006,Rice,740,83780,347336,176296,2822230
2023-Q3,1006,Rice,14225,92427,338343,308909,2474775
2023-Q4,1006,Rice,14357,118024,410288,329464,2022289
2024-Q1,1006,Rice,27910,87160,368132,199962,3098049
2024-Q2,1006,Rice,422,105624,391879,192523,2808421
2024-Q3,1006,Rice,14515,114203,393795,161622,2311996
2024-Q4,1006,Rice,14027,115514,462543,222733,3605890
2025-Q1,1006,Rice,13194,110876,472589,187033,3745942
2025-Q2,1006,Rice,334,99965,404639,212807,2905751
2020-Q3,1302,"Vegetable saps and extracts; pectic substances, pectinates and pectates; agar-agar and other ...",76804,101219,353004,369998,146721
2020-Q4,1302,"Vegetable saps and extracts; pectic substances, pectinates and pectates; agar-agar and other ...",67541,106388,361552,396425,145885
2021-Q1,1302,"Vegetable saps and extracts; pectic substances, pectinates and pectates; agar-agar and other ...",77305,111112,395682,450639,172327
2021-Q2,1302,"Vegetable saps and extracts; pectic substances, pectinates and pectates; agar-agar and other ...",93153,122932,472253,469753,185246
2021-Q3,1302,"Vegetable saps and extracts; pectic substances, pectinates and pectates; agar-agar and other ...",73327,106944,411522,483285,178134
2021-Q4,1302,"Vegetable saps and extracts; pectic substances, pectinates and pectates; agar-agar and other ...",81510,128081,454199,700363,231394
2022-Q1,1302,"Vegetable saps and extracts; pectic substances, pectinates and pectates; agar-agar and other ...",115989,136847,503054,636008,242874
2022-Q2,1302,"Vegetable saps and extracts; pectic substances, pectinates and pectates; agar-agar and other ...",93159,142904,572578,664837,262653
2022-Q3,1302,"Vegetable saps and extracts; pectic substances, pectinates and pectates; agar-agar and other ...",74548,143476,482242,748290,232103
2022-Q4,1302,"Vegetable saps and extracts; pectic substances, pectinates and pectates; agar-agar and other ...",60115,114191,393248,703648,218341
2023-Q1,1302,"Vegetable saps and extracts; pectic substances, pectinates and pectates; agar-agar and other ...",69700,138457,420696,619308,236170
2023-Q2,1302,"Vegetable saps and extracts; pectic substances, pectinates and pectates; agar-agar and other ...",81856,95786,377457,605254,181265
2023-Q3,1302,"Vegetable saps and extracts; pectic substances, pectinates and pectates; agar-agar and other ...",63804,91004,350709,554133,205873
2023-Q4,1302,"Vegetable saps and extracts; pectic substances, pectinates and pectates; agar-agar and other ...",67721,110914,362652,530508,236065
2024-Q1,1302,"Vegetable saps and extracts; pectic substances, pectinates and pectates; agar-agar and other ...",84225,130799,418735,501848,262117
2024-Q2,1302,"Vegetable saps and extracts; pectic substances, pectinates and pectates; agar-agar and other ...",79000,129251,415697,559875,238837
2024-Q3,1302,"Vegetable saps and extracts; pectic substances, pectinates and pectates; agar-agar and other ...",95725,112861,409596,504280,238264
2024-Q4,1302,"Vegetable saps and extracts; pectic substances, pectinates and pectates; agar-agar and other ...",100912,124701,434746,618205,258535
2025-Q1,1302,"Vegetable saps and extracts; pectic substances, pectinates and pectates; agar-agar and other ...",121495,152484,494222,553037,293546
2025-Q2,1302,"Vegetable saps and extracts; pectic substances, pectinates and pectates; agar-agar and other ...",63409,137818,417540,563027,271932
2020-Q3,2504,Natural graphite,2978,0,9078,76870,133
2020-Q4,2504,Natural graphite,5548,0,11837,94817,161
2021-Q1,2504,Natural graphite,4631,0,13338,70514,200
2021-Q2,2504,Natural graphite,5488,0,16203,79852,101
2021-Q3,2504,Natural graphite,12638,16,23840,82436,194
2021-Q4,2504,Natural graphite,12344,0,21414,94337,153
2022-Q1,2504,Natural graphite,26059,0,35680,77680,182
2022-Q2,2504,Natural graphite,30292,0,41607,101169,356
2022-Q3,2504,Natural graphite,54958,0,69508,107493,492
2022-Q4,2504,Natural graphite,33458,0,48249,98809,323
2023-Q1,2504,Natural graphite,36776,0,49183,80688,324
2023-Q2,2504,Natural graphite,34421,0,46609,68332,339
2023-Q3,2504,Natural graphite,25405,113,38231,61727,223
2023-Q4,2504,Natural graphite,16668,11,28879,74724,111
2024-Q1,2504,Natural graphite,16753,62,29892,37974,92
2024-Q2,2504,Natural graphite,29207,0,42733,59543,428
2024-Q3,2504,Natural graphite,25609,0,35817,51162,219
2024-Q4,2504,Natural graphite,28741,10,40395,56185,756
2025-Q1,2504,Natural graphite,29140,0,39962,62557,497
2025-Q2,2504,Natural graphite,13474,63,34805,49173,310
2020-Q3,2710,Petroleum oils and oils obtained from bituminous minerals (excl. crude); preparations containing ...,351,552933,9143843,3997785,7109428
2020-Q4,2710,Petroleum oils and oils obtained from bituminous minerals (excl. crude); preparations containing ...,25974,315812,9110516,5933659,5334507
2021-Q1,2710,Petroleum oils and oils obtained from bituminous minerals (excl. crude); preparations containing ...,391,538402,12277252,7982718,8066122
2021-Q2,2710,Petroleum oils and oils obtained from bituminous minerals (excl. crude); preparations containing ...,717,923187,17687410,9893302,12722500
2021-Q3,2710,Petroleum oils and oils obtained from bituminous minerals (excl. crude); preparations containing ...,770,955543,17625941,7183874,15535495
2021-Q4,2710,Petroleum oils and oils obtained from bituminous minerals (excl. crude); preparations containing ...,1311,793993,16507246,7418023,17386877
2022-Q1,2710,Petroleum oils and oils obtained from bituminous minerals (excl. crude); preparations containing ...,1574,597792,17501604,8458941,21022926
2022-Q2,2710,Petroleum oils and oils obtained from bituminous minerals (excl. crude); preparations containing ...,479,1644814,25718903,9993426,26848345
2022-Q3,2710,Petroleum oils and oils obtained from bituminous minerals (excl. crude); preparations containing ...,405,961852,21065070,13960215,23902725
2022-Q4,2710,Petroleum oils and oils obtained from bituminous minerals (excl. crude); preparations containing ...,34711,688870,18020685,15888569,22513366
2023-Q1,2710,Petroleum oils and oils obtained from bituminous minerals (excl. crude); preparations containing ...,37094,1681168,17512776,14216380,23629841
2023-Q2,2710,Petroleum oils and oils obtained from bituminous minerals (excl. crude); preparations containing ...,350,1335366,18294837,9309951,18834754
2023-Q3,2710,Petroleum oils and oils obtained from bituminous minerals (excl. crude); preparations containing ...,97984,1032939,17866157,12818640,22528368
2023-Q4,2710,Petroleum oils and oils obtained from bituminous minerals (excl. crude); preparations containing ...,469,1024671,15351209,11977763,19983888
2024-Q1,2710,Petroleum oils and oils obtained from bituminous minerals (excl. crude); preparations containing ...,45535,757682,14141304,11182718,22062828
2024-Q2,2710,Petroleum oils and oils obtained from bituminous minerals (excl. crude); preparations containing ...,215798,1041062,17788728,11330899,20454871
2024-Q3,2710,Petroleum oils and oils obtained from bituminous minerals (excl. crude); preparations containing ...,79564,799922,15394549,10848363,15177769
2024-Q4,2710,Petroleum oils and oils obtained from bituminous minerals (excl. crude); preparations containing ...,8931,611653,11394427,9004361,12603158
2025-Q1,2710,Petroleum oils and oils obtained from bituminous minerals (excl. crude); preparations containing ...,65550,579444,11906338,5921942,13852465
2025-Q2,2710,Petroleum oils and oils obtained from bituminous minerals (excl. crude); preparations containing ...,636,1147799,12970977,6929218,17255965
2020-Q3,3924,"Tableware, kitchenware, other household articles and toilet articles, of plastics (excl. baths, ...",1457102,8643,1832155,3294677,50674
2020-Q4,3924,"Tableware, kitchenware, other household articles and toilet articles, of plastics (excl. baths, ...",1610152,11538,2027616,3847149,56503
2021-Q1,3924,"Tableware, kitchenware, other household articles and toilet articles, of plastics (excl. baths, ...",1576386,12047,1973745,3194667,64062
2021-Q2,3924,"Tableware, kitchenware, other household articles and toilet articles, of plastics (excl. baths, ...",1601385,14257,2046548,3752257,55944
2021-Q3,3924,"Tableware, kitchenware, other household articles and toilet articles, of plastics (excl. baths, ...",1712955,11171,2177018,3897014,61279
2021-Q4,3924,"Tableware, kitchenware, other household articles and toilet articles, of plastics (excl. baths, ...",1848701,14129,2350784,4380398,59374
2022-Q1,3924,"Tableware, kitchenware, other household articles and toilet articles, of plastics (excl. baths, ...",1999109,15154,2529465,3723930,68961
2022-Q2,3924,"Tableware, kitchenware, other household articles and toilet articles, of plastics (excl. baths, ...",2116145,23247,2681653,4593949,58249
2022-Q3,3924,"Tableware, kitchenware, other household articles and toilet articles, of plastics (excl. baths, ...",1856414,15469,2369189,4320239,54406
2022-Q4,3924,"Tableware, kitchenware, other household articles and toilet articles, of plastics (excl. baths, ...",1530746,16037,1995596,4521676,54664
2023-Q1,3924,"Tableware, kitchenware, other household articles and toilet articles, of plastics (excl. baths, ...",1396634,9090,1812179,3606398,55205
2023-Q2,3924,"Tableware, kitchenware, other household articles and toilet articles, of plastics (excl. baths, ...",1577943,11380,2015919,4222834,55257
2023-Q3,3924,"Tableware, kitchenware, other household articles and toilet articles, of plastics (excl. baths, ...",1611707,12312,2058081,3825024,55419
2023-Q4,3924,"Tableware, kitchenware, other household articles and toilet articles, of plastics (excl. baths, ...",1645466,11521,2081165,4106839,55369
2024-Q1,3924,"Tableware, kitchenware, other household articles and toilet articles, of plastics (excl. baths, ...",1663592,10368,2086858,3929371,61587
2024-Q2,3924,"Tableware, kitchenware, other household articles and toilet articles, of plastics (excl. baths, ...",1622155,12954,2064369,4273143,53016
2024-Q3,3924,"Tableware, kitchenware, other household articles and toilet articles, of plastics (excl. baths, ...",1841443,10269,2295808,3734484,56346
2024-Q4,3924,"Tableware, kitchenware, other household articles and toilet articles, of plastics (excl. baths, ...",1769821,13248,2212255,4199363,66794
2025-Q1,3924,"Tableware, kitchenware, other household articles and toilet articles, of plastics (excl. baths, ...",1761516,13729,2193973,3624395,63643
2025-Q2,3924,"Tableware, kitchenware, other household articles and toilet articles, of plastics (excl. baths, ...",1208120,16653,1662091,3956978,62393
2020-Q3,6302,"Bedlinen, table linen, toilet linen and kitchen linen of all types of textile materials (excl. ...",569474,456496,1465067,2265621,407929
2020-Q4,6302,"Bedlinen, table linen, toilet linen and kitchen linen of all types of textile materials (excl. ...",665379,606556,1792177,2487594,452331
2021-Q1,6302,"Bedlinen, table linen, toilet linen and kitchen linen of all types of textile materials (excl. ...",573606,616138,1670297,2096571,510440
2021-Q2,6302,"Bedlinen, table linen, toilet linen and kitchen linen of all types of textile materials (excl. ...",629130,704042,1872158,2489634,523514
2021-Q3,6302,"Bedlinen, table linen, toilet linen and kitchen linen of all types of textile materials (excl. ...",673503,644372,1915125,2577206,642806
2021-Q4,6302,"Bedlinen, table linen, toilet linen and kitchen linen of all types of textile materials (excl. ...",725990,749199,2110790,2726140,598600
2022-Q1,6302,"Bedlinen, table linen, toilet linen and kitchen linen of all types of textile materials (excl. ...",679454,613464,1880123,2190791,571761
2022-Q2,6302,"Bedlinen, table linen, toilet linen and kitchen linen of all types of textile materials (excl. ...",628344,656787,1901467,2450305,532664
2022-Q3,6302,"Bedlinen, table linen, toilet linen and kitchen linen of all types of textile materials (excl. ...",584106,552781,1722134,2606969,491733
2022-Q4,6302,"Bedlinen, table linen, toilet linen and kitchen linen of all types of textile materials (excl. ...",497670,480010,1478908,2362994,447503
2023-Q1,6302,"Bedlinen, table linen, toilet linen and kitchen linen of all types of textile materials (excl. ...",423560,505961,1408885,2163874,433255
2023-Q2,6302,"Bedlinen, table linen, toilet linen and kitchen linen of all types of textile materials (excl. ...",505910,529198,1459359,2514658,426646
2023-Q3,6302,"Bedlinen, table linen, toilet linen and kitchen linen of all types of textile materials (excl. ...",501793,557656,1554666,2489988,493585
