hs_code,date,ntm_count,ntm_codes,has_sps,has_tbt,has_export_restriction,technical_measure_count,non_technical_count,ntm_severity
1006,2020-Q3,29,A33;A53;A14;A851;A51;B31;A64;A82;A9;A31,1,1,1,28,1,HIGH
1006,2020-Q4,29,A33;A53;A14;A851;A51;B31;A64;A82;A9;A31,1,1,1,28,1,HIGH
1006,2021-Q1,29,A33;A53;A14;A851;A51;B31;A64;A82;A9;A31,1,1,1,28,1,HIGH
1006,2021-Q2,29,A33;A53;A14;A851;A51;B31;A64;A82;A9;A31,1,1,1,28,1,HIGH
1006,2021-Q3,29,A33;A53;A14;A851;A51;B31;A64;A82;A9;A31,1,1,1,28,1,HIGH
1006,2021-Q4,29,A33;A53;A14;A851;A51;B31;A64;A82;A9;A31,1,1,1,28,1,HIGH
1006,2022-Q1,29,A33;A53;A14;A851;A51;B31;A64;A82;A9;A31,1,1,1,28,1,HIGH
1006,2022-Q2,29,A33;A53;A14;A851;A51;B31;A64;A82;A9;A31,1,1,1,28,1,HIGH
1006,2022-Q3,29,A33;A53;A14;A851;A51;B31;A64;A82;A9;A31,1,1,1,28,1,HIGH
1006,2022-Q4,29,A33;A53;A14;A851;A51;B31;A64;A82;A9;A31,1,1,1,28,1,HIGH
1006,2023-Q1,29,A33;A53;A14;A851;A51;B31;A64;A82;A9;A31,1,1,1,28,1,HIGH
1006,2023-Q2,29,A33;A53;A14;A851;A51;B31;A64;A82;A9;A31,1,1,1,28,1,HIGH
1006,2023-Q3,29,A33;A53;A14;A851;A51;B31;A64;A82;A9;A31,1,1,1,28,1,HIGH
1006,2023-Q4,29,A33;A53;A14;A851;A51;B31;A64;A82;A9;A31,1,1,1,28,1,HIGH
1006,2024-Q1,29,A33;A53;A14;A851;A51;B31;A64;A82;A9;A31,1,1,1,28,1,HIGH
1006,2024-Q2,29,A33;A53;A14;A851;A51;B31;A64;A82;A9;A31,1,1,1,28,1,HIGH
1006,2024-Q3,29,A33;A53;A14;A851;A51;B31;A64;A82;A9;A31,1,1,1,28,1,HIGH
1006,2024-Q4,29,A33;A53;A14;A851;A51;B31;A64;A82;A9;A31,1,1,1,28,1,HIGH
1006,2025-Q1,29,A33;A53;A14;A851;A51;B31;A64;A82;A9;A31,1,1,1,28,1,HIGH
1006,2025-Q2,29,A33;A53;A14;A851;A51;B31;A64;A82;A9;A31,1,1,1,28,1,HIGH
1302,2020-Q3,48,F69;P15;A31;E1;B7;B33;B31;B32;B85;B89,1,1,1,35,13,HIGH
1302,2020-Q4,48,F69;P15;A31;E1;B7;B33;B31;B32;B85;B89,1,1,1,35,13,HIGH
1302,2021-Q1,48,F69;P15;A31;E1;B7;B33;B31;B32;B85;B89,1,1,1,35,13,HIGH
