date,quarter_num,year,hs_code,product_name,us_import_china,us_import_india,us_import_world,china_export_world,india_export_world,china_share_us,india_share_us,other_share_us,us_share_china_exports,us_share_india_exports,hhi_us_imports,concentration_level,diversification_score,us_import_china_growth,us_import_india_growth,us_import_world_growth,china_export_world_growth,india_export_world_growth,china_share_ma4,india_share_ma4,china_trend,india_trend,china_momentum,india_momentum,trade_intensity_china,trade_intensity_india,china_rca,india_rca,rca_advantage,china_dependency_risk,geopolitical_risk_score,risk_level,india_opportunity_score,china_india_ratio,analysis_timestamp,ntm_count,ntm_codes,has_sps,has_tbt,has_export_restriction,technical_measure_count,non_technical_count,ntm_severity
2020-Q3,20203,2020,306,"Crustaceans, whether in shell or not, live, fresh, chilled, frozen, dried, salted or in brine, ...",1662,595252,2324206,249880,1101496,0.07,25.61,74.32,0.67,54.04,0.6179,HIGH,0.3821,,,,,,0.07,25.61,STABLE,STABLE,,,6.0332,490.1942,0.0558,3.2908,INDIA,0.07,38.57,LOW,62.69,0.0,2025-10-25 15:21:53,0,,0,0,0,0,0,NONE
2020-Q4,20204,2020,306,"Crustaceans, whether in shell or not, live, fresh, chilled, frozen, dried, salted or in brine, ...",2422,587018,2010185,356844,1091685,0.12,29.2,70.68,0.68,53.77,0.5848,HIGH,0.4152,45.73,-1.38,-13.51,42.81,-0.89,0.1,27.4,INCREASING,INCREASING,0.05,3.59,7.1184,563.9529,0.0854,4.7818,INDIA,0.12,37.6,LOW,76.19,0.0,2025-10-25 15:21:53,0,,0,0,0,0,0,NONE
2021-Q1,20211,2021,306,"Crustaceans, whether in shell or not, live, fresh, chilled, frozen, dried, salted or in brine, ...",2286,484264,1743985,194255,882625,0.13,27.77,72.1,1.18,54.87,0.597,HIGH,0.403,-5.62,-17.5,-13.24,-45.56,-19.15,0.11,27.53,INCREASING,INCREASING,0.01,-1.43,14.2261,663.2664,0.0564,2.9217,INDIA,0.13,37.97,LOW,58.16,0.0,2025-10-25 15:21:53,0,,0,0,0,0,0,NONE
2021-Q2,20212,2021,306,"Crustaceans, whether in shell or not, live, fresh, chilled, frozen, dried, salted or in brine, ...",4021,558525,3195294,209719,1345992,0.13,17.48,82.39,1.92,41.5,0.7094,HIGH,0.2906,75.9,15.33,83.22,7.96,52.5,0.11,25.02,INCREASING,DECREASING,0.0,-10.29,12.6506,273.7878,0.0368,2.1816,INDIA,0.13,41.35,MEDIUM,54.88,0.01,2025-10-25 15:21:53,0,,0,0,0,0,0,NONE
2021-Q3,20213,2021,306,"Crustaceans, whether in shell or not, live, fresh, chilled, frozen, dried, salted or in brine, ...",5938,821886,3051090,242154,1605571,0.19,26.94,72.87,2.45,51.19,0.6036,HIGH,0.3964,47.67,47.15,-4.51,15.47,19.29,0.14,25.35,INCREASING,INCREASING,0.06,9.46,16.9441,353.7137,0.0421,2.4276,INDIA,0.19,38.2,LOW,53.58,0.01,2025-10-25 15:21:53,0,,0,0,0,0,0,NONE
2021-Q4,20214,2021,306,"Crustaceans, whether in shell or not, live, fresh, chilled, frozen, dried, salted or in brine, ...",8429,830418,2950387,353575,1412217,0.29,28.15,71.56,2.38,58.8,0.5913,HIGH,0.4087,41.95,1.04,-3.3,46.01,-12.04,0.18,25.08,INCREASING,INCREASING,0.1,1.21,17.0349,420.1856,0.0614,2.2992,INDIA,0.29,37.88,LOW,51.85,0.01,2025-10-25 15:21:53,0,,0,0,0,0,0,NONE
2022-Q1,20221,2022,306,"Crustaceans, whether in shell or not, live, fresh, chilled, frozen, dried, salted or in brine, ...",6767,625542,2416510,163924,953516,0.28,25.89,73.83,4.13,65.6,0.6121,HIGH,0.3879,-19.72,-24.67,-18.1,-53.64,-32.48,0.22,24.62,INCREASING,INCREASING,-0.01,-2.26,36.0155,572.354,0.0397,1.4521,INDIA,0.28,38.5,LOW,44.28,0.01,2025-10-25 15:21:53,0,,0,0,0,0,0,NONE
2022-Q2,20222,2022,306,"Crustaceans, whether in shell or not, live, fresh, chilled, frozen, dried, salted or in brine, ...",5209,588362,3315105,172380,1405596,0.16,17.75,82.09,3.02,41.86,0.7054,HIGH,0.2946,-23.02,-5.94,37.19,5.16,47.41,0.23,24.68,DECREASING,DECREASING,-0.12,-8.14,19.2174,266.2022,0.0335,1.4395,INDIA,0.16,41.24,MEDIUM,47.36,0.01,2025-10-25 15:21:53,0,,0,0,0,0,0,NONE
2022-Q3,20223,2022,306,"Crustaceans, whether in shell or not, live, fresh, chilled, frozen, dried, salted or in brine, ...",2956,603461,2080616,188321,1406844,0.14,29.0,70.86,1.57,42.89,0.5862,HIGH,0.4138,-43.25,2.57,-37.24,9.25,0.09,0.22,25.2,DECREASING,INCREASING,-0.02,11.25,15.9052,434.6464,0.0534,2.5358,INDIA,0.14,37.66,LOW,53.81,0.0,2025-10-25 15:21:53,0,,0,0,0,0,0,NONE
2022-Q4,20224,2022,306,"Crustaceans, whether in shell or not, live, fresh, chilled, frozen, dried, salted or in brine, ...",5375,524450,1729272,302383,1132148,0.31,30.33,69.36,1.78,46.32,0.5731,HIGH,0.4269,81.83,-13.09,-16.89,60.57,-19.53,0.22,25.74,INCREASING,INCREASING,0.17,1.33,21.6712,564.758,0.0956,2.3447,INDIA,0.31,37.35,LOW,51.44,0.01,2025-10-25 15:21:53,0,,0,0,0,0,0,NONE
